クリニック特徴,医師からの一言(専門分野・得意とする点滴療法),医師からの一言(点滴や治療において心掛けていること),医師からの一言(来院を検討中の方へのメッセージ),点滴療法,公式HP,責任者
思春期から老年まで女性の年齢、ライフスタイルの変化に合わせて丁寧な診療を心がけています。なるべく体調不良の原因を探り、身体が本来持っている治す力を引き出せるようお手伝いしたいと考えています。気軽にご相談ください。,"専門分野・得意とする点滴療法
更年期障害、月経不順、月経困難症、抗加齢対策、抗癌剤治療中の方の高濃度ビタミンC点滴等行っています。","点滴や治療において心掛けていること
原因を推定し原因を取り除きながら、本来身体が持っている自己治癒力を引き出すお手伝いをしたいと常々考えています。","来院を検討中の方へのメッセージ
思春期から更年期、老年の方まで気軽にご相談にお越しください。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,オーソモレキュラー栄養療法",http://www.jikihara.net,直原廣明
"産婦人科を標榜しているクリニックです。火曜日午後診と第一土曜日は乳腺外来を併設。
更年期、ホルモン外来また炭酸ガスレーザーによる外来手術(バルトリン腺嚢腫、子宮頸部異形成、尖形コンジローマなど)、 ダイエット外来、水素ガス吸入、ビタミンC点滴・オゾン療法などによるエイジングケアからがん治療まで行っております。","専門分野・得意とする点滴療法
がん検診・婦人科外来手術(婦人科美容形成術・炭酸ガスレーザー)・更年期・ホルモン外来及びエイジンケア(プラセンタ・グルタチオン注射)に注力して居ります。
又同時にがん患者様にたいしてもビタミンC点滴・アルファリポ酸点滴はじめとして良き相談相手となるように治療を進めております。","点滴や治療において心掛けていること
患者様に寄添う医療を心掛けています。専門外のことでもなるべく繫げる医療や患者様の負担の少ない治療を目的としており、看護師、医師共々エイジングケアからがん治療まで行っております。
点滴室は1階(3人部屋)と2階(個室)に分かれており極力ご希望に添える様にしております。","来院を検討中の方へのメッセージ
エイジングケアの目的は、老化の始まりを遅らせ、健康な中年の時期を長く過ごせる様にする事です。遅老健康長寿が目標であり、がん予防に通じるものがあります。成長ホルモンは20才をピークに、抗酸化力や免疫力は40才頃から低下し始めます。同時にがんの罹患率40才以降加齢とともに上昇していきます。高濃度ビタミンC点滴、水素吸入、血液オゾン療法は一考に値するものと確信しております。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法",https://t-clinic.info/,竹井 啓裕
"患者様のお話を伺い、治療についての相談や説明を行う専門のトリートメントコーディネーターが在籍しています。
丁寧なカウンセリングを行い、患者様お一人お一人に合わせた治療計画を提案いたします。
最寄り駅から徒歩2分と通院していただきやすい場所にあり、予防処置から矯正・インプラントまで豊富な治療を行っております。","専門分野・得意とする点滴療法
高濃度ビタミンC点滴で免疫力を上げ、歯周病予防に取り組み、また、口腔内細菌から全身疾患へのリスクを下げることや、インプラント手術後の感染や腫れ予防、治癒力を促進させています。
オーソモレキュラー栄養療法を学んでいる管理栄養士が複数名在籍しており、精密血液検査の結果から医療用サプリメントを用いた指導や食事療法など様々な角度からのアプローチも得意としています。","点滴や治療において心掛けていること
高濃度ビタミンC点滴だけでなく、オーソモレキュラー栄養療法を取り入れ、口腔内だけでなく全身の不定愁訴など様々な悩みを持つ患者様にあわせてしっかりとお話を伺い、治療方針にご納得いただいてから治療をすすめていきます。
歯科治療を通して、心も身体も健康になっていただけるよう、スタッフ一同目指しております。","来院を検討中の方へのメッセージ
「なんとなく調子が悪い」や「そういえばここが痛い」などのお身体の不調も、お口の中の炎症からおきている可能性があります。
患者様のご都合にあわせた治療計画を提案いたしますので、気になる症状がございましたらお気軽にご相談ください。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）",https://www.ushijima-dc.com/,理事長　牛嶋星地
"腹水のがん治療
幹細胞培養上清点滴
漢方測定器を使った検査と診療
AGA","専門分野・得意とする点滴療法
高濃度ビタミンC点滴
NMN点滴","点滴や治療において心掛けていること
患者さんのお悩みや不安をお聞きして、安らいだ気持ちで帰っていただくこと。","来院を検討中の方へのメッセージ
日曜診察してます。木曜日と金曜日は夜20時まで診察してます。
大阪駅から各駅停車で約10分、駐車場は223台でバリアフリー屋根付き。
管理栄養士複数在籍のため、お身体のお悩みや予防医療に対応しています。
美肌検査、葉酸や肥満の検査も承っております。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",https://www.morikawa-naika-clinic.com/,森川高司
"院長である桑島達郎が地元で開業して51年になります。
地域医療とともに副院長である桑島靖子が、オーソモレキュラー栄養療法と点滴治療にとりくんで10年以上になります。
副腎疲労、動脈硬化、膠原病、不妊治療、抗ガン剤治療を受けられている方の、個別の食事指導、栄養指導を行い体質改善サポートをしています。","専門分野・得意とする点滴療法
オーソモレキュラー栄養療法・点滴療法は14年前から、香川県では、一番最初に導入しています。
個別に病態にあわせた食事療法、栄養療法を組み合わせた点滴治療を行っています。","点滴や治療において心掛けていること
栄養状態が良ければ、抗ガン剤の副作用も少なく、どんな治療も続けることが出来ます。ただネット情報があふれているため、
どういった食事をしたらよいのか迷っている方がとても多いです。
当院では、個別で、状態にあわせた食事療法、栄養療法を提案し、点滴療法を行っています。","来院を検討中の方へのメッセージ
栄養状態が良いほど、どんな治療も期待する効果を得ることができます。点滴療法も栄養状態によって変わってきます。
個別にあなたにあった食事療法、栄養療法を栄養療法のスペシャリストである桑島靖子医師が提案いたします。","高濃度ビタミンＣ点滴療法（がん治療）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法",http://kuwajima.net,桑島達郎
"院長は日本麻酔科学会指導医・専門医・認定医であり、現在も埼玉医科大学病院麻酔科講師として活動しています。
開業医では当時非常に稀な実際にCOVID-19患者治療を担当した経験もあります。東京・日本橋のテナント再開発により、環境のよい埼玉県坂戸市に移転いたしました。
日本橋開業当初から完全予約制・1組ずつの診療・治療体制としています。高濃度ビタミンＣ点滴治療はもちろん、麻酔技術を用いた緩和医療を提供しています。
中心静脈カテーテル・ポート埋め込み、硬膜外カテーテル・ポート埋め込み適応がある場合、院内治療、ドクターカー内治療が可能です。腹水・胸水治療の適応がある場合は往診によるドクターカー内治療を選択することも可能です。
個人所有のドクターカーは東京消防庁・八重洲エリアに配属されている高規格救急車をベースとした完全オリジナルドクターカーです。
治療室内はＥＲ（救急外来初期治療スペース）を参考とした全身麻酔機器を備えた環境となっています。診療所手術室スペースでの治療に近似した医療を在宅で提供できるよう配慮しています。","専門分野・得意とする点滴療法
腹水・胸水を伴ったがんに対する高濃度ビタミンＣ点滴が可能です（事前のＣＴ検査が必要です）。
「麻酔・緩和医療」を専門としているため、血管が出にくい患者さんには、中心静脈カテーテル挿入が可能です。
難治性の痛みがある場合は、硬膜外カテーテルを挿入することも可能です。状況により、来院またはドクターカー内で処置となります。","点滴や治療において心掛けていること
完全予約制で１名（１組）ずつ治療を提供が原則となっています。
開業当初より限りなく3密になりにくい低い診療体制をとっています。患者さんにとって一番よい方法を横断的に検討し、当院での治療にこだわることなく、
積極的に自分自身が受診したい医療機関・医師をご紹介いたしております。","来院を検討中の方へのメッセージ
Zoom・メールによる初診・医療相談が中心です。
患者さん・ご家族移動が最小限になるようドクターカーを積極使用しています。
従来型の診療所内での診察・治療も可能です。
遠方の方はZoomでリアルタイムの判断・医療アドバイスを行っています。","高濃度ビタミンＣ点滴療法（がん治療）,アルファリポ酸点滴療法,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,キレーション療法(Na-EDTA),プラセンタ療法",none,　尾﨑　道郎
"通院に便利な駅近のクリニックです。ご予約いただければ待ち時間もありません。安心して点滴療法を受けていただくために、半個室の点滴専用スペースを設けて、ベテラン看護師が専任で担当いたします。
CPC(細胞培養室）を自院で持ち、ひとりひとりに合った安心安全な幹細胞上清を提供しています。","専門分野・得意とする点滴療法
間葉系幹細胞の先駆者とともに研究を重ね、現在自院で幹細胞培養が可能なCPC(細胞培養室）を持つまでになりました。幹細胞治療は昨今、細胞を用いないセルフリーとして応用が進んできました。当院は、ひとりひとりの体質に合った幹細胞上清を用意することができます。どこよりも安全安心な幹細胞上清点滴を体感していただければと思います。","点滴や治療において心掛けていること
点滴の時間はくつろぎの時間であってほしいと思っています。ゆったりとした空間で、しばし日常を忘れてリフレッシュできるように設備や環境を整えてスタッフ一同患者様をお迎えしています。","来院を検討中の方へのメッセージ
水泳のオリンピック選手が受けたことで一躍有名になった幹細胞治療ですが、以前より慢性疾患や感染症の治療や予防にも応用されています。より安全性の高いセルフリーの幹細胞治療を身近な施設で体験され、長くご活用いただければ幸いです。","高濃度ビタミンＣ点滴療法（アンチエイジング）,血液オゾン療法,幹細胞培養上清療法",http://www.443.jp,吉見洋志
様々なメニューを揃えています。きめ細かい対応で皆様各々のご希望にあった治療をご提示します。,"専門分野・得意とする点滴療法
痛み治療
再生医療","点滴や治療において心掛けていること
迅速な対応と的確なアドバイス、また経済的に継続できるメニューの提案にも配慮しています。","来院を検討中の方へのメッセージ
お電話やインターネットにて、お気軽にご連絡下さい。
先ずは患者様の状況をしっかりと把握してから治療いたします。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,アルファリポ酸点滴療法,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",https://muse-city.com,仁杉直子
"院長の森永宏喜は「口腔から日本人の健康寿命を延ばしていく」ことを目指して研鑽を重ね、アメリカ・アンチエイジング医学会（A4M) の認定歯科医師として日本で初めて認証された経歴をもちます。
A4Mはアンチエイジング医学の学会として史上初めて設立され、世界約120か国に会員を擁する、世界のアンチエイジング医学をリードする存在です。
海外で情報収集する理由は明確です。国内で入手できる情報は、実は限られたものでしかなく、海外ではそれをはるかに超える質と量の情報が得られるからです。
そこで得られた情報を、「自分が充実した人生を送るために、健康になるためにはどうしたらいいのか」を真剣に考えていらっしゃる方のお役に立てればと考えています。
当院では院長だけでなく、スタッフも栄養療法については経験豊富です。当院マネージャーの渡邉と主任歯科衛生士の笹生は、社団法人日本オーソモレキュラー医学研究所認定のカウンセラー資格を取得しています。
羽田空港から東京湾アクアライン経由で約50分、風光明媚な南房総の地に当院はあります。通院の前後に豊かな自然と新鮮な食に触れられるのもセラピーの一助となるでしょう。","専門分野・得意とする点滴療法
身体の他部位に先駆けて老化の兆候がいち早く現れる口腔内の慢性炎症・機能低下をしっかり見つけ出し、病的な老化を防ぐことで体内年齢を若返らせることを目指していきます。
特に歯周病治療には力を入れており、歯周病菌のPCR検査、血液検査データをもとに高品質なメディカルサプリメントを処方するオーソモレキュラー栄養療法を併用し、治療用マウスピースを使った当院独自の「３DS抗菌栄養療法」を導入しています。その結果、歯周病の回復だけでなく健康レベルがアップする成果を上げています。
酸化ストレスのかかる歯周病治療では、高濃度ビタミンC点滴、マイヤーズカクテルが有効です。
※がん治療の高濃度ビタミンC点滴療法は、一部のみ対応しています。（要相談）","点滴や治療において心掛けていること
点滴療法も栄養療法も、継続して頂くことが非常に重要になります。また医院での治療だけでなく、食事内容を含めた日常の生活習慣の確認もとても重要です。おひとりお一人に合わせた処方や検査内容を工夫し、ご相談しながら「無理なく継続できる方法」を見つけ出し進めていきます。
治療などに関して疑問や不安があれば、院長もしくはカウンセラーにお電話・メールなどでご相談頂けます。","来院を検討中の方へのメッセージ
「すぐには受診する時間が取れない」という方は、まずはお電話かメールでご連絡下さい。サプリメント処方に関してご相談に乗れる場合があります。必要に応じてZoomセッションも可能です。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法",https://www.morinagadc.com/,森永宏喜
"病気についての悩みや健康に対する不安な思いなど、さまざまな事情で訪れる患者さまに対して、私たちは患者さまそれぞれのご要望にお応えすべく、再生医療を中心とした治療を提供しています。
皆さまの健康長寿を実現するため、特に「がん」「認知症」「疾病予防」「アンチエイジング」のための医療に力を入れています。これらは互いに密接に関係しており、すべての方にとって必要な医療だと考えます。","専門分野・得意とする点滴療法
循環器内科、総合内科、第２種・第３種の再生医療の研究開発を専門にしています。第２種再生医療では自己脂肪由来間葉系幹細胞を使用した治療を、第３種再生医療では樹状細胞やNK細胞を使用したがんの予防や治療を行っています。
点滴療法はニューヨークのサレルノ・センターのDr. ジョン・サレルノのプロトコールを使用しています。キレーション療法は開発者のDr.ゲーリー・ゴードンに師事し、ご指導いただきました。
幹細胞上清療法やCa EDTAキレーション、高濃度ビタミンC点滴療法、そして血液オゾン療法などの点滴療法は、患者さんのご希望をよくお伺いし、身体的問題や病状などを診させていいただいた上で、治療をご提案させていただいています。","点滴や治療において心掛けていること
１．その患者さんにとって治療効果を最大にすることを期待できる医療のご提供。
２．患者さんの身になって、ライフステージやライフスタイルを考慮した医療のご提供。","来院を検討中の方へのメッセージ
もし今、健康や病気のことでお悩みなら、当院の扉をたたいてみてください。何か新しい道をご提案できるかもしれません。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,キレーション療法(Ca-EDTA),プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",https://tokyocancerclinic.jp,阿部博幸
"【クリニックの所在地に関して】
場所は東京都千代田区で、JRと地下鉄4駅がある市谷駅から徒歩1分です。都内はもとより、近県からも通院しやすい場所を選びました。遠隔地の方は、ZOOM診療も可能で、お互い表情が見られますので、好評です。ビル5階の点滴ルームで、リクライニングチェアから外を見ながら(春は旧江戸城外堀土手の桜が見えます)、ゆったりとした気分で週6日まで点滴可能（日曜日午前中も）です。個室も完備しています。
【治療に関して】
院長の勤務医時代はあらゆる癌患者さんを病棟で診てきましたので、どんな状況の癌の患者さんにも対応できます。院長は半世紀前に高濃度ビタミンC点滴療法を開始したパイオニアの一人で、この医療を中心に据えています（後述）。また、リンパ球療法（T細胞、NK細胞）、樹状細胞ワクチン療法、遺伝子治療など、広義の免疫療法を長年多数実地してきましたので、即効性や遅効性などそれぞれの長所と短所を客観的にお話しできます。
必要に応じて、院長のネットワークを通して、癌の転移巣に対して、最新のピンポイント放射線治療、ラジオ波焼灼療法、血管内治療、局所温熱療法、少量抗癌剤療法など、最適と判断される専門医に紹介しています。
自己免疫疾患などの難病や抗加齢に関しても、いろいろな方法を行っています（後述）。","専門分野・得意とする点滴療法
【専門分野】
内科一般、腫瘍内科、難病医療、抗加齢医療
【点滴療法について】
癌に対する高濃度ビタミンC点滴療法は、個人差はあるものの標準治療との併用がより効果的で抗癌剤や放射線の副作用を減らし、かつ抗癌効果も増強します。
近年高濃度ビタミンC点滴療法の抗癌メカニズムが分子レベルで明らかにされつつあります。
自己免疫疾患などの難病にも高濃度ビタミンC点滴療法が有効であるという多数の臨床経験を持っています。
抗加齢に関しても、体内の抗酸化作用が期待でき、いわば体の錆ができにくくなります。
動脈硬化症など病勢が進んでいれば、進行を遅くし、あるいは病気との共存を目指します。ヨーロッパで長い歴史のあるオゾン療法も行っています。
神経系の難病には、グルタチオン点滴や幹細胞上清点滴などを行っています。","点滴や治療において心掛けていること
癌の標準治療は立派なものですが、治療のリスクとともに、後遺症がある種の確率で起きます。
医療の最終選択権は患者さんにありますが非標準治療だけで進行癌、特に転移癌を治すのは至難ですから、標準治療のどれを選び選ばないかについて、それぞれ長所や短所があり選択は難問です。
半世紀に及ぶ癌・難病の臨床経験のある院長は、標準治療の最新情報を確認しながら、患者さんにとっての最適の組合せを、順位を付けて提案します。補完医療としてビタミンC点滴療法などを選ぶか、どう組み合わせるか、当院では、建前ではなくて本音で、十分時間をかけて話し合っています。
患者さんの価値観を大切にしながら、十分時間をかけて話し合い、ベストの医療を探し出します。","来院を検討中の方へのメッセージ
癌や難病にかかることは、初体験であり、不安がつきものです。無理に前向きになろうとする（欧米医療）よりも、不安そのものをあるがまま受け入れる（東洋思想）方が、気持ちが少し楽になるかもしれません。
小さくても大きくても希望を持つことができれば、日々の生活は少し楽になります。
十分時間をかけて、ご本人のお気持ちをお聴きし、できるだけ寄り添う医療を心掛けています（個別化医療）。年余の無理がたたって発病に至ったのかもしれません。人生をギアチェンジし、心身を休めましょう。
癌・難病は総力戦です。今かかっている病院と共に、当院のスタッフもサポートグループに入れていただければ幸いです。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,グルタチオン点滴療法,プラセンタ療法,血液オゾン療法,幹細胞培養上清療法",http://kenkou-zoushin.com/, 水上 治
"【治療方針】
噛むということは単に咀嚼するというだけでは無く、歯、顎関節、頭蓋骨の3つのバランスのとれた情報を、顎関節を基点として全身の神経・筋肉系へ信号を送ることと考えています。
ねじれた情報ではなくバランスのとれた情報を体の隅々に発信することが重要と考えます。
顎、頭蓋骨の歪みを戻して、顎関節と骨格が調和する様に調整いたします。
長い期間バランスを崩していると、それによって舌の使い方、食べ方、姿勢や体の筋肉の使い方などにも悪い影響を与えています。
当院では歯を治すだけではなく、歪みを治してお口の機能を上げる事により、全身の機能を上げることを考えて様々な指導をいたします。
◆冷えとり指導
◆食事の指導
◆噛み方指導
◆顎関節を傷めない使い方
◆舌の使い方
◆立ち方、歩き方、座り方
◆腰、股関節を傷めない使い方
◆寝相、枕の選び方
【対応できる点滴療法】
噛み合わせ治療は、本来の健康な体を取り戻すためものです。更にそこから一歩進んで、日々の健康増進を望まれる方もいらっしゃいます。
免疫力を高めたり、抗酸化力を強化するだけではなく歯周組織を強化して、日々の活力増進に欠かせないものとして考えております。
そのために当院では、高濃度ビタミンC点滴療法やDr.マイヤーズのマイヤーズカクテルを導入しています。","専門分野・得意とする点滴療法
私は歯科医師として、噛み合わせと顎関節の問題に長年取り組んでまいりました。
特に噛み合わせの不具合は、顎関節の位置変化をもたらします。これが原因となり眼・耳・鼻などに
さまざまな症状を引き起こすこともあります。
口腔・顎関節は、耳鼻科領域にも近接しますので、この領域にも影響します。
耳・鼻・めまい症状などがあれば、専門医の関与が必要になります。
当院では、日本耳鼻咽喉科学会認定医・日本めまい平衡医学会認定医の宮尾源二郎医師に、
歯科領域との関連を相談し、より広い視野の下で治療を進めております。
美味しく食べて健康な一生を過ごす。
舌を使い正しく噛む事で栄養の吸収や嚥下力や唾液の量も変化します。
更に高濃度ビタミンC点滴をして、免疫力、
抗酸化力をつけて健康増進に役立てて頂き、
活力に満ちた積極的な日々を過ごされることを願っております。","点滴や治療において心掛けていること
来院される患者様には、色々な不安や思い悩んでいらっしゃることがあります。
その１つ１つをお聞きして最良の方法を寄り添いながら一緒に考えていければと願っております。","来院を検討中の方へのメッセージ
何か歯や身体の不調で来院する方には、
まずは、その心配な身体の不調が歯や顎関節、頭蓋骨の歪みから来ているものかどうか診査、診断をいたします。
以前はなんでもなかったのに、首や肩が凝るようになった場合、左右前後の歯の高さ、
または噛む位置自体が違っていてバランスが乱れていることが考えられます。
この噛み合わせの不具合が原因となり、首や肩の筋肉に過剰な信号がでたり、
必要な信号が不足したりという事がしばしば見られます。
この信号の過不足が首や肩の凝りの原因につながっていきます。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）",https://brace-dental.com/,大森直樹
"駐車場は近隣に1台分あります。
各種口腔機能評価機器、唾液分析機器、体組成分析装置、骨密度測定装置、デジタルレントゲン装置、血圧脈波測定装置、美容医療トリートメント機器（ハイドラフェイシャル）、インソール作成用グラインダー、等の機器を揃え、全身を総合的に評価しております。","専門分野・得意とする点滴療法
日本抗加齢医学会専門医として総合的に診断します。
点滴療法ではプラセンタ注射、高濃度ビタミンC点滴注射、マイヤーズカクテル、グルタチオン点滴などを行っております。","点滴や治療において心掛けていること
常に感謝の気持ちを持ち、ヒポクラテスが諭した「First,do no harm」の原則、本邦の法律に則った医療を通して社会に貢献することを心掛けております。","来院を検討中の方へのメッセージ
必要に応じて全身状態の把握行い、ひとりひとりの状態に合わせた点滴療法をご提案しております。お気軽のご相談ください。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法",http://www.mro-cl.com,藤田典往
"当院の名誉院長・柳澤厚生先生は、点滴療法研究会会長・国際オーソモレキュラー医学会会長として、高濃度ビタミンC点滴をはじめとする点滴療法を広く日本に普及しました。その理念を引き継ぎ、点滴療法を主体としながらも、個別化医療・多面的医療の観点から様々な方法を駆使したトータルヘルスケア・治療を行っています。
具体的には、分子整合医学と遺伝子分析を応用した食事・栄養指導、次世代ストレスマネジメントであるバイオフィードバック・ニューロフィードバック法などのレジリエンス療法、脳腸相関の観点から行うオーダーメイドプロバイオティクス療法、地下に併設したジムでのパーソナルトレーニング、身体の歪みを整える楽健術整体など、患者様のご要望に応じ適宜組み合わせて実施することが可能です。
メディカルディレクターという専門スタッフが、患者様のご希望にお応えする窓口として細やかな対応をさせて頂きます。
クリニックに滞在される時間をより快適に過ごして頂けるよう、設計の段階から配慮された特別な空間を味わって頂きたいと思います。","専門分野・得意とする点滴療法
元々の専門はペインクリニックですが、全人的なアプローチを志す過程で東洋医学や精神医学、温泉療法などを学びました。
現在は、点滴療法はもちろん、東洋医学やバイオフィードバック法、運動療法、腸内環境の適正化などを取り入れたトータルケアを行っています。
なかでも各々のレジリエンス（＝ストレスを乗り越える力）を高めるアプローチを大事にしており、この観点から点滴療法としては特にオゾン療法に力を入れています。
現在、日本医療・環境オゾン学会臨床研究部会長としてオゾン療法の指導・普及を行っています。
また、点滴療法研究会会長・柳澤厚生名誉院長より薫陶を受けた高濃度ビタミンC点滴も得意としています。","点滴や治療において心掛けていること
まず、患者様のお話をじっくりお伺いすることを大切にしています。10人の患者様がいらっしゃれば10人それぞれのストーリーがあります。
私たちはその物語（Narrative）を大切にし、寄り添う医療であるNBM（Narrative-based Medicine）を志しています。
治療方針についても十分な時間をかけて説明し、ご納得頂いた上で受けて頂くことを心掛けています。
サイエンスとしての根拠に基づいた医療（Evidence-based Medicine, EBM）はもちろん大切ですが、人間味溢れる医療ともいえるNBMとのバランスを重視して診療に当たっています。","来院を検討中の方へのメッセージ
健康増進やアンチエイジングを目的にご来院されるお客様には、例えば3ヶ月後にどんな自分になっていたいのか、具体的な目標を共に設計し成し遂げる喜びを共有させて頂きます。
また、ご病気でクリニックにお越しになる患者様は、多かれ少なかれ何らかの不安を抱えていらっしゃるものです。
私たちはその不安を安心に変えることを使命と考えています。
時には１人で考え込んでしまって気持ちが落ち込み辛い思いをされることもあるかと思いますが、そんなときこそ当院をご活用頂きたいと思います。不安を安心に変え、前向きで明るい気持ちを持ち続けていただけるように、私も含めたスタッフ全員で精一杯のフォローアップを心がけています。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,アルファリポ酸点滴療法,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,キレーション療法(Ca-EDTA),プラセンタ療法,血液オゾン療法",http://www.spicclinic.com/,松村浩道　 日本医科大学卒業 勤務開始年　2017年
"横浜市保土ヶ谷区西谷の相鉄線西谷駅徒歩5分にある整形外科クリニックです。
整形外科疾患には、再生医療やエコーガイド下のサイレントマニュピレーション等の特殊な治療を提供しています。
疾患や外傷以外の不定愁訴や難病等にもアプローチすべく、点滴療法やオーソモレキュラー栄養療法を取り入れています。
医師だけでなく看護師・理学療法士・管理栄養士が力を合わせて、全人的医療をを提供いたします。
気軽にお問い合わせください。","専門分野・得意とする点滴療法
高濃度ビタミンC点滴療法
マイヤーズカクテル点滴療法
グルタチオン点滴療法
プラセンタ療法
オーソモレキュラー栄養療法","点滴や治療において心掛けていること
患者様に合わせて治療提案をしています。
運動療法や栄養指導なども、合わせてご提案いたします。","来院を検討中の方へのメッセージ
どこを受診しても原因が解らない、異常はないと言われたことは有りますか？
自律神経のバランスが乱れていたり、栄養素が不足して酸化や糖化が起こっている事が考えられます。
症状が進行する前に、是非ご相談ください。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,プラセンタ療法,オーソモレキュラー栄養療法",http://www.unayamaseikei.com,宇南山 賢二
当院は各種点滴療法による、病気を未然に防ぐ予防医療とアンチエイジングに努めています。,"専門分野・得意とする点滴療法
高濃度ビタミンC点滴
マイヤーズカクテル
グルタチオン点滴","点滴や治療において心掛けていること
失われた視力は戻らないため、健康な目を点滴療法により延伸していくこと。","来院を検討中の方へのメッセージ
スマホやPCで目を酷使している方、40代以上で長年眼科受診されていない方は是非ご相談ください。","高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,グルタチオン点滴療法,キレーション療法(Ca-EDTA),キレーション療法(Na-EDTA)",http://www.tsukahara-eye.com,塚原 正彦
薬物療法・その他の治療法とともに、点滴療法・オーソモレキュラー栄養療法を併用していくことより、辛い症状や病気を改善させます。,"専門分野・得意とする点滴療法
産婦人科
オーソモレキュラー栄養療法
高濃度ビタミンC点滴","点滴や治療において心掛けていること
生まれ持った体質や環境は1人1人異なります。
お1人お1人にあった「点滴療法」「オーソモレキュラー栄養療法」で健康をサポートすること。","来院を検討中の方へのメッセージ
点滴療法・オーソモレキュラー栄養療法は、お1人お1人に合わせた個別的な工夫が必要です。
一緒に寄り添い、健康をサポートさせていただけたら幸いです。","高濃度ビタミンＣ点滴療法（がん治療）,高濃度ビタミンＣ点滴療法（アンチエイジング）,マイヤーズカクテル（ビタミン・ミネラル点滴）,プラセンタ療法,オーソモレキュラー栄養療法",http://www.pure-jc.com,伊藤由美
